abandono	-1.9	0.53852	[-1, -2, -2, -2, -2, -3, -2, -2, -1, -2]
abandonado	-2.0	1.09545	[-1, -1, -3, -2, -1, -4, -1, -3, -3, -1]
abandonador	-1.9	0.83066	[-1, -1, -3, -2, -1, -3, -1, -2, -3, -2]
abandonados	-1.9	0.83066	[-2, -3, -2, -3, -2, -1, -2, -2, 0, -2]
abandonando	-1.6	0.8	[-3, -2, -3, -2, -1, -1, -1, -1, -1, -1]
abandono	-2.4	1.0198	[-4, -2, -1, -4, -2, -1, -2, -3, -3, -2]
abandono	-1.7	0.45826	[-2, -1, -2, -2, -1, -2, -1, -2, -2, -2]
abandona	-1.3	0.9	[-2, -1, -1, -2, -1, -2, -1, -2, 1, -2]
sequestrou	-2.3	1.18743	[-3, -1, 0, -3, -1, -3, -4, -2, -3, -3]
abducao	-2.8	0.87178	[-4, -3, -3, -4, -1, -3, -2, -2, -3, -3]
abducoes	-2.0	1.41421	[-3, -4, -1, -3, -1, -3, 1, -2, -1, -3]
abominar	-2.0	1.09545	[-3, -3, -1, -1, -2, -1, -3, -3, 0, -3]
aborrecido	-2.4	1.49666	[-4, -4, 0, -3, -2, -1, -4, -3, -3, 0]
abominavel	-3.1	1.3	[-4, -4, -4, -2, 0, -4, -2, -3, -4, -4]
abomina	-2.9	1.51327	[0, -4, -3, -3, -4, -4, 0, -4, -3, -4]
habilidades	1.0	0.63246	[1, 2, 0, 1, 0, 1, 1, 1, 1, 2]
habilidade	1.3	0.64031	[1, 1, 1, 0, 1, 2, 2, 2, 2, 1]
a bordo	0.1	0.3	[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]
ausente	-1.1	0.53852	[-1, -1, 0, -2, -1, -1, -2, -1, -1, -1]
ausentes	-0.8	0.6	[-1, 0, 0, -1, -1, 0, -2, -1, -1, -1]
absolver	1.2	1.46969	[2, -3, 2, 2, 1, 1, 2, 1, 2, 2]
absolvido	1.5	0.92195	[3, 1, 2, 1, 0, 2, 3, 1, 1, 1]
absolutos	1.3	1.00499	[3, 1, 1, 0, 0, 2, 3, 1, 1, 1]
absolvendo	1.6	0.8	[3, 1, 2, 1, 1, 2, 3, 1, 1, 1]
abuso	-3.2	0.6	[-4, -2, -3, -4, -3, -4, -3, -3, -3, -3]
abusado	-2.3	0.64031	[-2, -2, -3, -2, -2, -4, -2, -2, -2, -2]
abusador	-2.6	0.4899	[-3, -2, -3, -3, -2, -3, -2, -2, -3, -3]
abusadores	-2.6	1.0198	[-2, -3, -3, -3, -3, -2, -3, -4, -3, 0]
abusos	-2.6	0.66332	[-3, -2, -3, -3, -3, -3, -1, -2, -3, -3]
abusando	-2.0	1.41421	[-1, -2, -2, -4, -4, -2, -3, -1, 1, -2]
abusivo	-3.2	0.74833	[-4, -3, -3, -4, -4, -3, -4, -2, -3, -2]
abusivamente	-2.8	0.6	[-3, -4, -3, -2, -3, -2, -2, -3, -3, -3]
abusividade	-2.5	0.92195	[-2, -4, -2, -3, -2, -3, -4, -2, -1, -2]
abusividades	-3.0	0.63246	[-3, -3, -4, -3, -4, -2, -2, -3, -3, -3]
aceitar	1.6	0.91652	[2, 1, 2, 1, 1, 2, 4, 1, 1, 1]
aceitabilidade	1.6	0.66332	[0, 2, 2, 2, 1, 2, 2, 2, 1, 2]
aceitabilidade	1.1	0.53852	[1, 0, 1, 2, 1, 2, 1, 1, 1, 1]
aceitavel	1.3	0.45826	[1, 2, 1, 1, 1, 2, 1, 1, 2, 1]
aceitabilidade	1.3	0.9	[1, 0, 2, 1, 2, 1, 1, 0, 2, 3]
aceitavelmente	1.5	0.67082	[3, 2, 1, 1, 1, 2, 1, 1, 2, 1]
aceitacao	2.0	0.63246	[3, 1, 3, 2, 1, 2, 2, 2, 2, 2]
aceitacoes	1.7	0.78102	[3, 1, 1, 1, 2, 2, 1, 2, 3, 1]
aceitavel	1.6	0.8	[0, 1, 2, 2, 2, 1, 2, 1, 3, 2]
aceitacao	1.3	0.78102	[0, 1, 2, 1, 1, 1, 1, 3, 2, 1]
aceitacoes	0.9	0.83066	[1, 2, 0, 2, 0, 1, 0, 2, 1, 0]
aceitaram	1.1	0.3	[1, 1, 1, 1, 1, 2, 1, 1, 1, 1]
aceitando	1.6	0.66332	[2, 2, 2, 1, 1, 2, 1, 3, 1, 1]
aceita	1.3	0.45826	[1, 2, 1, 1, 1, 2, 2, 1, 1, 1]
acidente	-2.1	0.83066	[-2, -2, -1, -3, -4, -2, -2, -1, -2, -2]
acidental	-0.3	0.45826	[-1, -1, 0, 0, 0, 0, 0, 0, -1, 0]
acidentalmente	-1.4	0.91652	[-2, 0, -2, 0, -3, -1, -1, -1, -2, -2]
acidentes	-1.3	0.78102	[-1, -1, -1, -1, -2, 0, -3, -1, -2, -1]
realizar	1.8	0.6	[1, 2, 3, 2, 2, 2, 1, 1, 2, 2]
